"","Brand","Sort","ABV","Brewery","ABV2"
"349","Colère Rouge","Belgian dark ale","5%","Brasserie Millevertus",5
"350","Content","tripel","7.5%","Brewery De Graal voor De Verhuisbrouwerij",7.5
"351","Contrapils","pils","5%","Brewery Contreras",5
"352","Contreras' Especial Mars","high fermentation, lentebier","6.5%","Brewery Contreras",6.5
"353","Cookie Beer","speciaalbier","8%","Brasserie d'Ecaussinnes",8
"354","Coq Hardi","lage gisting, blond","5.5%","Brewery Haacht",5.5
"355","Corsendonk Agnus","blonde tripel","7.5%","Brewery du Bocq voor Corsendonk nv",7.5
"356","Corsendonk Blond","high fermentation","6.5%","Brewery du Bocq voor Corsendonk nv",6.5
"357","Corsendonk Bruin","high fermentation","6.5%","Brewery du Bocq voor Corsendonk nv",6.5
"358","Corsendonk Christmas Ale","kerstbier","8.5%","Brewery du Bocq voor Corsendonk nv",8.5
"359","Corsendonk Pater","roodbruin, dubbel","7.5%","Brewery du Bocq voor Corsendonk nv",7.5
"360","Corsendonk Rousse","amber, high fermentation","8%","Brewery du Bocq voor Corsendonk nv",8
"361","Corsendonk Triple 11.11.11","tripel (etiketbier)","7.5%","Brewery du Bocq voor Corsendonk nv",7.5
"362","Couckelaerschen Doedel","high fermentation","6.5%","Brewery Strubbe",6.5
"363","Courage","high fermentation, winterbier","8%","Brewery De Dochter van de Korenaar",8
"364","Coy'Heimsen","roodbruin, etiketbier","6%","Brewery Van Eecke",6
"365","Crack Pils","lage gisting, pils","5%","Brewery Het Sas",5
"366","Crianza","mengbier met lambiek","7%","Brasserie de la Senne",7
"367","Cristal Alken","lage gisting, pils","4.8%","Alken-Maes (Heineken)",4.8
"368","Cristal 1928","lage gisting, pils","5.8%","Alken-Maes (Heineken)",5.8
"369","Cuvée Angélique","dubbel, Special Belge","8.3%","Brewery De Glazen Toren",8.3
"370","Cuvée de Bouillon","blond, high fermentation","6.5%","Brasserie de Bouillon",6.5
"371","Cuvée de Briqville","streekbier","7%","Brewery Van Steenberge",7
"372","Cuvée de Francorchamps","etiketbier","8%","Brewery Lefebvre",8
"373","Cuvée De Ranke","gemengde gisting","7%","Brewery De Ranke",7
"374","Cuvée des Trolls","high fermentation, blond","7%","Brewery Dubuisson",7
"375","Cuvée des Trolls Triple","blonde tripel","7%","Brewery Dubuisson",7
"376","Cuvée Delphine","Belgian Royal Stout","13%","De Struise Brouwers bij Brewery Deca",13
"377","Cuvée d'Erpigny","quadrupel, oak aged","15%","Brewery Alvinne",15
"378","Cuvée du Château","sterk donker","11%","Brewery Van Honsebrouck",11
"379","Cuvée du Flo Ambrée","high fermentation, amber","8.5%","Brasserie du Flo",8.5
"380","Cuvée du Flo Blonde","high fermentation, blond","8%","Brasserie du Flo",8
"381","Cuvée du Flo Brune","high fermentation, bruin","9%","Brasserie du Flo",9
"382","Cuvée du Flo Fruit","high fermentation, fruitbier","6.5%","Brasserie du Flo",6.5
"383","Cuvée du Flo Miel","high fermentation, honingbier","8.5%","Brasserie du Flo",8.5
"384","Cuvée du Tchesté","high fermentation","7.5%","Brasserie Les 3 Fourquets in opdracht van de Confrérie du Tchesté de Neufchâteau",7.5
"385","Cuvée Ermesinde","high fermentation, amber","7.8%","Brasserie Saint-Monon",7.8
"386","Cuvée Freddy","stout","10%","Brewery Alvinne",10
"387","Cuvée Jeun'homme","blond","6.5%","Brewery De Leite",6.5
"388","Cuvée Jolie Môme","high fermentation, witbier","4.5%","Brasserie du Flo",4.5
"389","Cuvée René Oude Geuze","oude geuze","5.5%","Brewery Lindemans",5.5
"390","Cuvée René Oude Kriek","fruitbier op basis van lambiek","6%","Brewery Lindemans",6
"391","Cuvée Li Crochon","high fermentation, bruin","8.7%","Brasserie Du Bocq",8.7
"392","Cuvée Mam'zelle","hoogblond","8.5%","Brewery De Leite",8.5
"393","Cuvée Saint-Antoine Blonde","Abbey Beer","7.5%","Brasserie du Flo",7.5
"394","Cuvée Saint-Antoine Brune","Abbey Beer, scotch","9%","Brasserie du Flo",9
"395","Cuvée Saint Gilloise","spontane gisting, 100% lambiek","5%","Brewery Cantillon",5
"396","Cuvée van de Keizer Blauw","robijnrood speciaalbier","11%","Brewery Het Anker",11
"397","Cuvée van de Keizer Rood","blond speciaalbier","10%","Brewery Het Anker",10
"398","Dagelyckx bier","etiketbier","8%","Brewery Jessenhofke",8
"399","Darinckdelver","stout","10.5%","Brewery Alvinne",10.5
"400","Dark White BBB","high fermentation","4.5%","Brasserie Fantôme",4.5
"401","De Boomgaard Framboise","fruitbier","4.9%","Brasserie d'Ecaussinnes",4.9
"402","de Chokier","high fermentation, amber","7%","De Proefbrouwerij",7
"403","De Eycken Balthazar","donkerbruin","9%","Brewery Alvinne",9
"404","De Garre Tripel","tripel","11.5%","Staminee De Garre (Brewery Van Steenberge)",11.5
"405","De Graal Blond","blond","6.5%","Brewery De Graal",6.5
"406","De Graal Dubbel","donker","6.5%","Brewery De Graal",6.5
"407","De Graal Gember","blond","8%","Brewery De Graal",8
"408","De Graal SloCK","koperkleurig","6.5%","Brewery De Graal",6.5
"409","De Graal Tripel","tripel","9%","Brewery De Graal",9
"410","De Graal Quest","suikervrij","9%","Brewery De Graal",9
"411","De Graal Triverius","witbier","6.8%","Brewery De Graal",6.8
"412","De Kavijaks","India pale ale","7%","De Dolle Brouwers voor Kaffee Kavijaks",7
"413","De Koninck","amber","5.2%","Brewery De Koninck (Duvel-Moortgat)",5.2
"414","De Koninck Triple d'Anvers","blond","8%","Brewery De Koninck (Duvel-Moortgat)",8
"415","De Koninck Winter","robijnrood","6.5%","Brewery De Koninck (Duvel-Moortgat)",6.5
"416","De Maeght van Gottem","donkerblond","6.5%","Huisbrouwerij Sint-Canarus",6.5
"417","De Nacht","winterbier","5.2%","Brewery Vissenaken",5.2
"418","De Regenboog IJzer","","6%","Brewery De Regenboog",6
"419","De Verboden Vrucht","high fermentation","8.5%","Brewery De Kluis (InBev)",8.5
"420","De Vlier X-Mas","kerstbier","8.5%","Brewery De Vlier",8.5
"421","Deinze Export","export","4.6%","Huisbrouwerij Sint Canarus voor JCI Deinze en Leiestreek",4.6
"422","Delhaize Christmas","etiketbier","9%","Affligem Brewery",9
"423","Delhaize Tafelbier Blond","tafelbier","1.5%","Brewery Piedbœuf (InBev)",1.5
"424","Delhaize Tafelbier Bruin","tafelbier","1.5%","Brewery Piedbœuf (InBev)",1.5
"425","Delirium Nocturnum","donker, high fermentation","9%","Brewery Huyghe",9
"426","Delirium Tremens","tripel","9%","Brewery Huyghe",9
"427","Delirium Christmas","kerstbier","10%","Brewery Huyghe",10
"428","Delirium Red","fruitbier","8.5%","Brewery Huyghe",8.5
"429","Den Alternatief","lager","5%","Brewery Het Alternatief bij Brewery Alvinne",5
"430","Den Bi3r","tripel","9%","Brewery Den Tseut",9
"431","Den Bras","bruin","7.5%","Brewery Den Tseut",7.5
"432","Den Drupneuze","winterbier","8.5%","Brewery Den Tseut",8.5
"433","Den Herberg Amber","amber","5%","Brewery Den Herberg",5
"434","Den Herberg Blond","blond","5.5%","Brewery Den Herberg",5.5
"435","Den Herberg Bruin","bruin","5.5%","Brewery Den Herberg",5.5
"436","Den Herberg Tarwe","witbier","5%","Brewery Den Herberg",5
"437","Den Mulder","blond","8%","Brewery Den Tseut",8
"438","Den Tseut","blond, speciaalbier","6.5%","Brewery Den Tseut",6.5
"439","Den Twaalf","high fermentation","12%","Brewery 't Gaverhopke",12
"440","Den Zytholoog","blond","6.6%","Brewery De Graal voor bierfirma Vacas",6.6
"441","Dendermonde Tripel","Abbey Beer, tripel","8%","Brewery De Block",8
"442","Dentergems Wit","witbier","5%","Brewery Het Anker",5
"443","Deugniet","tripel (etiketbier)","7.3%","Brasserie Du Bocq",7.3
"444","DeuS","speciaalbier, blond","11.5%","Brewery Bosteels",11.5
"445","Diabolici","tripel","8%","Groep John Martin",8
"446","Dikke Mathile","high fermentation","6%","Brewery Strubbe",6
"447","Dobbel Palm","high fermentation","6%","Brewery Palm",6
"448","Dobbelken Amber","streekbier, amber","6.5%","Brewery Strubbe",6.5
"449","Dobbelken Bruin","streekbier, bruin","5%","Brewery Strubbe",5
"450","Dogabier","etiketbier","6.5%","Huisbrouwerij Sint-Canarus",6.5
"451","Dominus Dubbel","Abbey Beer","6.5%","Group John Martin",6.5
"452","Dominus Tripel","Abbey Beer, tripel","8%","Group John Martin",8
"453","Donkere Stoere","sterk donker","8.2%","Brewery DijkWaert",8.2
"454","Double Bie","bruin","6.5%","Brewery De Bie",6.5
"455","Double de Brabant","dubbel, donker","6.5%","Groep John Martin",6.5
"456","Double Enghien Blonde","high fermentation, blond","7.5%","Brasserie de Silly",7.5
"457","Double Enghien Brune","high fermentation, amber","8%","Brasserie de Silly",8
"458","Douglas Celtic Brown","donkere scotch","7.9%","Scottish & Newcastle voor Groep John Martin",7.9
"459","Douglas Celtic Lager","blonde lager","5%","Scottish & Newcastle voor Groep John Martin",5
"460","Douglas Celtic Red","amberrood, high fermentation","7.9%","Scottish & Newcastle voor Groep John Martin",7.9
"461","Douglas Celtic Super","blond, high fermentation","7.9%","Scottish & Newcastle voor Groep John Martin",7.9
"462","Douglas Celtic XXX Strong","blond, high fermentation","12%","Scottish & Newcastle voor Groep John Martin",12
"463","Drongens Plezierke","high fermentation, donker","7.5%","Brewery Slaghmuylder",7.5
"464","Druïde Blond","lichtblond","6.5%","De Proefbrouwerij voor Brewery Druïde",6.5
"465","Druïde Bruin","robijnrood","6.5%","De Proefbrouwerij voor Brewery Druïde",6.5
"466","Druïde Grand Q","tripel, blond","8.5%","De Proefbrouwerij voor Brewery Druïde",8.5
"467","Druivenbier","fruitbier","6%","Brewery Van Steenberge voor Brewery Paeleman",6
"468","Dubbel Buitenlust","blond","8.5%","De Proefbrouwerij",8.5
"469","Dubbel Klok","donker","8.5%","Brewery Boelens",8.5
"470","Ducassis","fruitbier","3%","Brasserie des Légendes",3
"471","Duchesse de Bourgogne","oud bruin","6.2%","Brewery Verhaeghe Vichte",6.2
"472","Duivels Bier","donker","8%","Brewery Boon",8
"473","Dulle Griet","dubbel","6.5%","De Scheldebrouwerij",6.5
"474","Dulle Teve","tripel","10%","De Dolle Brouwers",10
"475","Duvel","high fermentation","8.5%","Brewery Duvel Moortgat",8.5
"476","Duvel Tripel Hop","high fermentation","9.5%","Brewery Duvel Moortgat",9.5
"477","Echt Kriekenbier","fruitbier","6.8%","Brewery Verhaeghe",6.8
"478","Echte Kriek","fruitbier","6.8%","Brewery Verhaeghe",6.8
"479","Edel-Brau","alcoholarm","0.3%","Brewery Strubbe",0.3
"480","Eerwaarde Pater","Waestvlaams roodbruin","9%","Brewery Het Alternatief bij Brewery De Graal of Brewery Alvinne",9
"481","Eeuwige Liefde","sterk donker","8.2%","Brewery DijkWaert",8.2
"482","Egmont","blond","6.5%","Brewery Strubbe voor Brewery Crombé",6.5
"483","Elliot Brew","Imperial IPA","9%","De Struise Brouwers bij Brewery Deca",9
"484","El Toro","high fermentation, IPA","6.5%","Brewery Contreras",6.5
"485","Embrasse","high fermentation, sterk donker","9%","Brewery De Dochter van de Korenaar",9
"486","Embrasse Special Edition","high fermentation, oak aged","9%","Brewery De Dochter van de Korenaar",9
"487","Ename Blond","Abbey Beer, high fermentation","6.5%","Brewery Roman",6.5
"488","Ename Dubbel","Abbey Beer, high fermentation","6.5%","Brewery Roman",6.5
"489","Ename Tripel","Abbey Beer, tripel","8.5%","Brewery Roman",8.5
"490","Ename Cuvée 974","high fermentation","7%","Brewery Roman",7
"491","Enfant Terriple","blond, tripel","8.2%","Brewery De Leite",8.2
"492","Enghien Noël","high fermentation, tripel, kerstbier","9%","Brasserie de Silly",9
"493","Estaminet Premium Pils","pils","5.2%","Brewery Palm",5.2
"494","Equinox","bruin","8%","Brewery De Ranke voor Brasserie de la Senne",8
"495","Eupener Bier","pils","5.2%","Brewery Haacht",5.2
"496","Export 8","pils","4.7%","Brewery Haacht",4.7
"497","Ezel Bruin","bruin","6.5%","Brewery Bavik",6.5
"498","Ezel Wit","witbier","5.8%","Brewery Bavik",5.8
"499","Fancy","alcoholarm","0.5%","Brewery Bavik",0.5
"500","Fantôme","high fermentation","8%","Brasserie Fantôme",8
"501","Fantôme Chocolat","high fermentation","8%","Brasserie Fantôme",8
"502","Fantôme Spéciale Noel","high fermentation","8%","Brasserie Fantôme",8
"503","Faro Boon","faro","4%","Brewery Boon",4
"504","Faro Girardin","faro","5%","Brewery Girardin",5
"505","Faro Lambic Lindemans","faro","4.5%","Brewery Lindemans",4.5
"506","Faro Perte Totale","faro","5%","Brewery Boon",5
"507","Fasso Blond","blond","6.5%","Brewery Vissenaken",6.5
"508","Felix Kriek Oud Bruin","kriek","6%","Brewery Verhaeghe voor Brewery Clarysse (bierfirma)",6
"509","Felix Kriekbier","kriek","5.2%","Brewery Verhaeghe voor Brewery Clarysse (bierfirma)",5.2
"510","Felix Oud Bruin","bruin","5.2%","Brewery Verhaeghe voor Brewery Clarysse (bierfirma)",5.2
"511","Felix Speciaal Oudenaards","roodbruin","4.6%","Brewery Verhaeghe voor Brewery Clarysse (bierfirma)",4.6
"512","Femme Fatale","high fermentation, amber","6.5%","Brewery De Leite",6.5
"513","Ferme Framboos","fruitbier","8%","Brewery De Vlier",8
"514","Festina Lente","donkerbruin","7%","Brewery Alvinne",7
"515","Finesse","high fermentation, tripel","8.5%","Brewery De Dochter van de Korenaar",8.5
"516","Flandrien","high fermentation","7%","Brewery Louwaege",7
"517","Flodder","high fermentation","8%","De Proefbrouwerij voor bierfirma VALOCCO",8
"518","Floreffe Blond","Abbey Beer","6.3%","Brewery Lefebvre",6.3
"519","Floreffe Dubbel","Abbey Beer","6.3%","Brewery Lefebvre",6.3
"520","Floreffe Prima Melior","Abbey Beer","8%","Brewery Lefebvre",8
"521","Floreffe Tripel","Abbey Beer","7.5%","Brewery Lefebvre",7.5
"522","Floreffe Wit-Bier","witbier, Abbey Beer","4.5%","Brewery Lefebvre",4.5
"523","Florilège de Pensée","fruit- en bloemenbier","9%","Brasserie d'Ecaussinnes",9
"524","Florilège de Rose","fruit- en bloemenbier","9%","Brasserie d'Ecaussinnes",9
"525","Florilège de Sureau","fruit- en bloemenbier","9%","Brasserie d'Ecaussinnes",9
"526","Florilège d’Hibiscus","fruit- en bloemenbier","9%","Brasserie d'Ecaussinnes",9
"527","Floris Cactus","witbier","4.2%","Brewery Huyghe",4.2
"528","Floris Chocolat","bruin","4.2%","Brewery Huyghe",4.2
"529","Floris Fraise","fruitbier","3.6%","Brewery Huyghe",3.6
"530","Floris Framboise","fruitbier","3.7%","Brewery Huyghe",3.7
"531","Floris Griotte","fruitbier","3%","Brewery Huyghe",3
"532","Floris Honey","honingbier","4.5%","Brewery Huyghe",4.5
"533","Floris Kriek","fruitbier","3.6%","Brewery Huyghe",3.6
"534","Floris Mango","fruitbier","3.6%","Brewery Huyghe",3.6
"535","Floris Ninkeberry","fruitbier","3.6%","Brewery Huyghe",3.6
"536","Floris Passion","fruitbier","3.6%","Brewery Huyghe",3.6
"537","Floris Pear","fruitbier","3.5%","Brewery Huyghe",3.5
"538","Floris Pomme / Apple","fruitbier","3.5%","Brewery Huyghe",3.5
"539","Floris Witbier","witbier","5%","Brewery Huyghe",5
"540","Florival Blond","Abbey Beer","7%","Affligem Brewery (Brewery De Smedt)",7
"541","Florival Bruin","donkerbruin","7%","Affligem Brewery",7
"542","Florival Tripel","tripel","8.5%","Affligem Brewery",8.5
"543","Florival Winter","roodbruin","9%","Affligem Brewery",9
"544","Foewerbier","amber","7%","Brewery Kerkom",7
"545","Forestinne Ambrosia","amber","7.5%","Brasserie Caracole",7.5
"546","Forestinne Gothika","scotch","7.5%","Brasserie Caracole",7.5
"547","Forestinne Mysteria","blond speciaalbier","7.5%","Brasserie Caracole",7.5
"548","Forestinne Nordika","kerstbier","7.5%","Brasserie Caracole",7.5
"549","Forestinne Primoria","blond","7.5%","Brasserie Caracole",7.5
"550","Fort Lapin 8","tripel","8%","Brewery Fort Lapin",8
"551","Framboise Boon","lambiek, fruitbier","6%","Brewery Boon",6
"552","Framboise Girardin","lambiek, fruitbier","5%","Brewery Girardin",5
"553","Framboise Lindemans","lambiek, fruitbier","2.5%","Brewery Lindemans",2.5
"554","Framboise Max Jacobins","lambiek, fruitbier","3%","Brewery Bockor",3
"555","Framboise Oud Beersel","lambiek, fruitbier","5%","Brewery Oud Beersel",5
"556","Frasnoise Givrée","amber","6.3%","Brasserie La Frasnoise",6.3
"557","Frasnoise Rétro","amber","6.3%","Brasserie La Frasnoise",6.3
"558","Freaky","Brown ale","3.8%","Brewery Alvinne",3.8
"559","Freaky Dark","lambiek","3.8%","Brewery Alvinne",3.8
"560","Fruitig Bierreke","fruitbier","8.2%","Brewery DijkWaert",8.2
"561","Gageleer","biologisch bier","7.5%","De Proefbrouwerij",7.5
"562","Gaspar","amber","8%","Brewery Alvinne",8
"563","Gauloise Ambrée","amber","5.5%","Brasserie Du Bocq",5.5
"564","Gauloise Blonde","blond","6.3%","Brasserie Du Bocq",6.3
"565","Gauloise Brune","bruin","8.1%","Brasserie Du Bocq",8.1
"566","Gauloise Red","fruitbier","8.2%","Brasserie Du Bocq",8.2
"567","Gauloise Christmas","kerstbier","8.1%","Brasserie Du Bocq",8.1
"568","Gentse Strop","blond","6.9%","Brewery Roman",6.9
"569","Gentse Tripel","blond","8%","Brewery Van Steenberge",8
"570","Gertrude Ambrée","amber, high fermentation","6%","Brasserie de Bouillon",6
"571","Gertrude Triple","tripel","7.5%","De Proefbrouwerij",7.5
"572","Geuze Cantillon 100% Lambic Bio","geuze","5%","Brewery Cantillon",5
"573","Gueuze Girardin","geuze","5%","Brewery Girardin",5
"574","Gueuze Girardin gefilterd","geuze","5%","Brewery Girardin",5
"575","Geuze Jacobins","geuze","5.5%","Brewery Bockor",5.5
"576","Geuze Lindemans","geuze","5.5%","Brewery Lindemans",5.5
"577","Geuze Mariage Parfait","geuze","8%","Brewery Boon",8
"578","Ghulden Cop","donker blond","6%","Brewery De Graal",6
"579","Gigi speciale","tafelbier","2.5%","Brasserie Gigi",2.5
"580","Gildenbier","high fermentation, bruin","7%","Brewery Haacht",7
"581","Ginder Ale","high fermentation, amber","5.1%","InBev",5.1
"582","Glutaner","glutenvrij pilsener","5.2%","Brewery Huyghe",5.2
"583","Goeie Koffe","stout","9.5%","Brewery DijkWaert",9.5
"584","Goliath Blonde","high fermentation, blond","5.5%","Brasserie des Légendes",5.5
"585","Goliath Triple","high fermentation, tripel","9%","Brasserie des Légendes",9
"586","Golden Kenia","pils","5.1%","Brewery Huyghe",5.1
"587","Golding Campina","pils","4.8%","Alken-Maes (Heineken)",4.8
"588","Gold Pils","pils","5%","Brewery Bavik",5
"589","Gordon 0.00","alcoholvrij","0%","Group John Martin",0
"590","Gordon Finest Chrome","high fermentation","10.5%","Group John Martin",10.5
"591","Gordon Finest Copper","high fermentation","6.6%","Group John Martin",6.6
"592","Gordon Finest Gold","high fermentation","10%","Group John Martin",10
"593","Gordon Finest Platinum","high fermentation","12%","Group John Martin",12
"594","Gordon Finest Red","high fermentation, rood","8.4%","Group John Martin",8.4
"595","Gordon Finest Scotch","scotch","8.6%","Group John Martin",8.6
"596","Gordon Finest Silver","high fermentation","7.7%","Group John Martin",7.7
"597","Gordon Finest Zero","alcoholvrij","0%","Group John Martin",0
"598","Gordon Five","pils","5%","Group John Martin",5
"599","Gordon Xmas","kerstbier","8.8%","Brewery Palm voor Group John Martin",8.8
"600","Goud Vuur","amber, tripel","9%","Brewery DijkWaert",9
"601","Gouden Arend 125","goudblond","8.5%","Brewery De Ryck",8.5
"602","Gouden Carolus Ambrio","amber","8%","Brewery Het Anker",8
"603","Gouden Carolus Christmas","donker speciaalbier","10.5%","Brewery Het Anker",10.5
"604","Gouden Carolus Classic","donker speciaalbier","8.5%","Brewery Het Anker",8.5
"605","Gouden Carolus Easter","donker speciaalbier","10%","Brewery Het Anker",10
"606","Gouden Carolus Hopsinjoor","blond speciaalbier","8%","Brewery Het Anker",8
"607","Gouden Carolus Tripel","tripel","9%","Brewery Het Anker",9
"608","Gouden Pier Kloeffe","high fermentation, tripel","8.1%","De Proefbrouwerij voor Brewery Slaapmutske",8.1
"609","Gouyasse Tradition","high fermentation, blond","6%","Brasserie des Géants",6
"610","Gouyasse Triple","triple","9%","Brasserie des Géants",9
"611","Grand Cru Bruocsella","lambiek","5%","Brasserie Cantillon",5
"612","Green Buzz","biologisch","6%","Brasserie Millevertus",6
"613","Grelotte","kerstbier","9%","Brasserie Grain d'Orge",9
"614","Gribousine Blonde","high fermentation","8.5%","Brasserie La Binchoise (voor Brasserie de Malonne)",8.5
"615","Gribousine Brune","high fermentation","8%","Brasserie La Binchoise (voor Brasserie de Malonne)",8
"616","Gribousine Hiver","winterbier","8.5%","Brasserie La Binchoise (voor Brasserie de Malonne)",8.5
"617","Griboval","high fermentation","6.5%","Brewery Van Den Bossche voor Scouts Moen 50 jaar (2011)",6.5
"618","Grimbergen Blond","Abbey Beer high fermentation","6.7%","Alken-Maes (Heineken - Carlsberg)",6.7
"619","Grimbergen Cuvée de l'Ermitage","high fermentation","7.5%","Alken-Maes (Heineken - Carlsberg)",7.5
"620","Grimbergen Dubbel","high fermentation","6.5%","Alken-Maes (Heineken - Carlsberg)",6.5
"621","Grimbergen Goud 8°","high fermentation, blond","8%","Alken-Maes (Heineken - Carlsberg)",8
"622","Grimbergen Optimo Bruno","high fermentation","10%","Alken-Maes (Heineken - Carlsberg)",10
"623","Grimbergen Selection","donker, dubbel","7%","Alken-Maes (Heineken - Carlsberg)",7
"624","Grimbergen Tripel","tripel","9%","Alken-Maes (Heineken - Carlsberg)",9
"625","Grisette Ambrée","amber","5%","Brewery St-Feuillien",5
"626","Grisette Blanche","witbier","5%","Brewery St-Feuillien",5
"627","Grisette Blonde","blond","4.5%","Brewery St-Feuillien",4.5
"628","Grisette Cérise","fruitbier","3.5%","Brewery St-Feuillien",3.5
"629","Grisette Country Cool","","3.5%","Brewery St-Feuillien",3.5
"630","Grisette Fruits des Bois","fruitbier","3.5%","Brewery St-Feuillien",3.5
"631","Grotten Flemish Ale","high fermentation, Belgian strong ale","7.7%","Brewery St-Bernardus",7.7
"632","Grottenbier","high fermentation","6.5%","Brewery St-Bernardus",6.5
"633","Gruut Amber","amber","6.6%","Stadsbrouwerij Gruut",6.6
"634","Gruut Blond","blond","5.5%","Stadsbrouwerij Gruut",5.5
"635","Gruut Bruin","bruin","8%","Stadsbrouwerij Gruut",8
"636","Gruut Inferno","goud","9%","Stadsbrouwerij Gruut",9
"637","Gruut Wit","witbier","5%","Stadsbrouwerij Gruut",5
"638","Guido","high fermentation","8%","Brewery De Regenboog",8
"639","Gulden Delle","mengbier","8.5%","Brewery De Vlier",8.5
"640","Gulden Draak","high fermentation, donker","10.5%","Brewery Van Steenberge",10.5
"641","Guldenberg","donkerblond Abbey Beer","8.5%","Brewery De Ranke",8.5
"642","Gypsy Rose","amber","9%","Brasserie Sainte-Hélène",9
"643","Haanse Witte","witbier","5.5%","Brewery Strubbe voor den Haene",5.5
"644","Halleschelle","blond","8.5%","Brewery Alvinne",8.5
"645","Hanssens Lambic Experimental Cassis","lambiek, fruitbier","4%","Brewery Hanssens",4
"646","Hanssens Lambic Experimental Raspberry","lambiek, fruitbier","4%","Brewery Hanssens",4
"647","Hapkin","high fermentation, blond","8.5%","Alken-Maes (Heineken)",8.5
"648","Harelbekenaar van de abdijhoeve","roodbruin, etiketbier","6%","Brewery Van Eecke",6
"649","Hector","high fermentation, tripel","8.2%","Brewery De Graal",8.2
"650","Heksemiebier","high fermentation","6.2%","Microbrouwerij Achilles",6.2
"651","Hellekapelle","blond","5%","Brewery De Bie",5
"652","Helleketelbier","amber","7%","Brewery De Bie",7
"653","Hercule Stout","stout","9%","Brasserie des Légendes",9
"654","Herkenrode Bruin","Abbey Beer, bruin","7%","Brewery Sint-Jozef",7
"655","Herkenrode Tripel","Abbey Beer, tripel","7%","Brewery Sint-Jozef",7
"656","Hertalse Poorter","high fermentation, blond","6.5%","Brewery Slaghmuylder",6.5
"657","Hertenheer","high fermentation, amber","6.5%","Scheldebrouwerij voor Brewery Het Nest",6.5
"658","Hervoise","high fermentation","8.2%","Brasserie Grain d'Orge",8.2
"659","Hik Blond","high fermentation, ale","6.5%","Brewery Het Alternatief bij Brewery De Graal",6.5
"660","Hik Bruin","high fermentation","6.5%","Brewery Het Alternatief bij Brewery De Graal",6.5
"661","Himelein","high fermentation","6%","Brewery Vissenaken",6
"662","Hoegaarden","high fermentation, witbier","4.9%","Brewery De Kluis (InBev)",4.9
"663","Hoegaarden 0.0","alcoholvrij witbier","0%","Brewery De Kluis (InBev)",0
"664","Hoegaarden 0.0 Rosée","alcoholvrij fruitbier","0%","Brewery De Kluis (InBev)",0
"665","Hoegaarden Citron","fruitbier","3%","Brewery De Kluis (InBev)",3
"666","Hoegaarden Grand Cru","high fermentation","8.5%","Brewery De Kluis (InBev)",8.5
"667","Hoegaarden Rosée","fruitbier","3%","Brewery De Kluis (InBev)",3
"668","Hoegaarden Spéciale","high fermentation, goudblond","5.7%","Brewery De Kluis (InBev)",5.7
"669","Hoegaarden Verboden Vrucht","fruitbier","8.8%","Brewery De Kluis (InBev)",8.8
"670","Hof Korvatunturi","high fermentation, bruin","11%","'t Hofbrouwerijke",11
"671","Hof ten Dormaal Amber","high fermentation","7.5%","Brewery Hof ten Dormaal",7.5
"672","Hof ten Dormaal Blond","high fermentation","8%","Brewery Hof ten Dormaal",8
"673","Hof ten Dormaal Donker","high fermentation","8.5%","Brewery Hof ten Dormaal",8.5
"674","Hofblues","stout","5.5%","'t Hofbrouwerijke",5.5
"675","Hofdraak","bruin","6.5%","'t Hofbrouwerijke",6.5
"676","Hofelf","tarwetripel","7.5%","'t Hofbrouwerijke",7.5
"677","Hofnar","amber","9%","'t Hofbrouwerijke",9
"678","Hofpint","high fermentation, pils","5.5%","'t Hofbrouwerijke",5.5
"679","Hoftrol","amber","6.2%","'t Hofbrouwerijke",6.2
"680","Holger","pils","5%","Brewery Martens",5
"681","Holsbeek Lentetripel","tripel","8.5%","Brewery De Vlier",8.5
"682","Hommelbier","goudkleurig, high fermentation","7.5%","Brewery Van Eecke",7.5
"683","Hop Harvest","sterk donker","8%","Brewery De Ranke",8
"684","Hop Ruiter","tripel","8%","Scheldebrouwerij",8
"685","Hopjutters Triple Hop","India Pale Ale","7.3%","Brewery De Graal voor De Hopjutters",7.3
"686","Hoppa Hontas","India Pale Ale","6.5%","Brewery Maenhout",6.5
"687","Hoppe","pils","5%","Brewery Van Steenberge",5
"688","Hopus","high fermentation, goudblond","8.3%","Brewery Lefebvre",8.3
"689","Hopverdomme","","7.5%","De Struise Brouwers",7.5
"690","Horal's Oude Geuze Mega Blend","geuze","7%","3 Fonteinen, Brewery Boon, Timmermans, Oud Beersel, Lindemans, De Troch, De Cam, Hanssens",7
"691","Horse Ale","","4.5%","Inbev Belgium",4.5
"692","Horst bier","lage gisting, blond","6.5%","Brewery Haacht",6.5
"693","Hotteuse Grand Cru","donker","8%","Affligem Brewery",8
"694","Houblon Chouffe Dobbelen IPA Tripel","India Pale Ale","9%","Brewery d'Achouffe (Duvel-Moortgat)",9
"695","Hougaerdse Das","high fermentation, amber","5.1%","Brewery De Kluis (InBev)",5.1
"696","Houten Kop","speciaalbier","6.5%","Brewery Strubbe",6.5
"697","Huardis","witbier","5.2%","Brewery Nieuwhuys",5.2
"698","Ichtegem’s grand cru","","6.5%","Brewery Strubbe",6.5
"699","Ichtegem's Oud Bruin","roodbruin, high fermentation","5%","Brewery Strubbe",5
"700","Ignis & Flamma","IPA","7%","De Struise Brouwers bij Brewery Deca",7
