"","Brand","Sort","ABV","Brewery","ABV2"
"1183","Redbocq","fruitbier","3.1%","Brasserie Du Bocq",3.1
"1184","Redor","pils","5%","Brasserie Dupont",5
"1185","Regal Christmas","bruin","8.1%","Brasserie Du Bocq",8.1
"1186","Reinaert Blond","amber","7%","De Proefbrouwerij",7
"1187","Reinaert Grand Cru","amber","9.5%","De Proefbrouwerij",9.5
"1188","Reinaert Tripel","blond","9%","De Proefbrouwerij",9
"1189","Revolucion Mexicana’10","lage gisting","5%","Group John Martin",5
"1190","Ridder","alcoholarm","2.25%","Brewery Het Sas",2.25
"1191","Riebedebie","tripel","9%","Brewery De Bie",9
"1192","Riva Blanche","witbier","5%","Brewery Riva",5
"1193","Robustus","quadrupel","10%","Brewery Het Gulden Spoor",10
"1194","Rochefort 6","trappist","7.5%","Abdij Notre-Dame de Saint-Rémy",7.5
"1195","Rochefort 8","trappist","9.2%","Abdij Notre-Dame de Saint-Rémy",9.2
"1196","Rochefort 10","trappist","11.3%","Abdij Notre-Dame de Saint-Rémy",11.3
"1197","Rodenbach","oud bruin","5.2%","Brewery Rodenbach",5.2
"1198","Rodenbach Alexander","oud bruin","6%","Brewery Rodenbach",6
"1199","Rodenbach Caractère Rouge","oud bruin","7%","Brewery Rodenbach",7
"1200","Rodenbach Grand Cru","oud bruin","6%","Brewery Rodenbach",6
"1201","Rodenbach Vintage","oud bruin","7%","Brewery Rodenbach",7
"1202","Rogier","speciale belge","6.5%","Brewery De Graal voor Traagwater",6.5
"1203","Romy Pils","pils","5.1%","Brewery Roman",5.1
"1204","Ronsischen Dubbel","winterbier","7.4%","De Proefbrouwerij voor bierfirma Slaapmutske",7.4
"1205","Ronsischen Tripel","tripel","8%","De Proefbrouwerij voor bierfirma Slaapmutske",8
"1206","Roodebol","fruitbier","6.6%","Brewery Loterbol",6.6
"1207","Rosdel","amber","5.8%","Brewery Nieuwhuys",5.8
"1208","Rosé de Gambrinus","fruitbier, lambiek","5.5%","Brasserie Cantillon",5.5
"1209","Rose des Remparts","fruitbier","4.5%","Brasserie La Binchoise",4.5
"1210","Rosé Max","fruitbier","4.5%","Brewery Bockor",4.5
"1211","Roste Jeanne","Belgian ale","7%","De Struise Brouwers bij Brewery Deca",7
"1212","Rousse de Brabant","koper-amber","5.2%","Groep John Martin",5.2
"1213","RSRV","biologisch, roodbruin","10%","Brewery Jessenhofke bij De Proefbrouwerij",10
"1214","'s Lands Souvenirs Du Terroir","bruin","11%","Brewery De Landtsheer",11
"1215","Safir","pils","5%","InBev",5
"1216","Saint-Benoît Blonde","blond, high fermentation","6.3%","Brasserie du Bocq",6.3
"1217","Saint-Benoît Brune","donker, high fermentation","6.5%","Brasserie du Bocq",6.5
"1218","Saint-Lamvinus","fruitbier, lambiek","6%","Brewery Cantillon",6
"1219","Saint-Monon Ambrée","amber","6.5%","Brasserie Saint-Monon",6.5
"1220","Saint-Monon au Miel","tripel, honingbier","8%","Brasserie Saint-Monon",8
"1221","Saint-Monon Brune","dubbel","7.5%","Brasserie Saint-Monon",7.5
